# Codex wall reviews - generated by `vostok data review`; do not hand-edit.
# function	src_hash	diff_hash	status	wall_class	evidence
?activate@weapon_user_animations_selector@survarium@@QAEXAAUbase_player@2@ABV?$function@$$A6AXXZ@boost@@1@Z	d7344b9fbd55	8920719e1100	bounded	inline	The target callback registrations and source agree; the candidate-only Boost stored-vtable belongs to an expanded assign_to path that retail retains as a call.
?add_data@?$batched_geometry@Ulpv_vertex@render@vostok@@@render@vostok@@MAEXPBUbatched_vertex_source@23@IPBGIABVfloat4x4@math@3@ABV?$resource_ptr@Umaterial_effects_instance@render@vostok@@Vunmanaged_intrusive_base@resources@3@@resources@3@@Z	2f5c88026c92	a040fdfa4add	bounded	regalloc	Both specializations have the target 19 statements and ten locals; the sole 1.0f datum difference is x87/SSE constant materialization inside otherwise identical index, transform, basis, AABB, and vertex loops.
?add_data@?$batched_geometry@Ushadow_vertex@render@vostok@@@render@vostok@@MAEXPBUbatched_vertex_source@23@IPBGIABVfloat4x4@math@3@ABV?$resource_ptr@Umaterial_effects_instance@render@vostok@@Vunmanaged_intrusive_base@resources@3@@resources@3@@Z	2f5c88026c92	a040fdfa4add	bounded	regalloc	Both specializations have the target 19 statements and ten locals; the sole 1.0f datum difference is x87/SSE constant materialization inside otherwise identical index, transform, basis, AABB, and vertex loops.
?add_decal@game_world@survarium@@UAEXABV?$resource_ptr@Vunmanaged_resource@resources@vostok@@Vunmanaged_intrusive_base@23@@resources@vostok@@IMMABVfloat3@math@5@11_N@Z	b7e9e507a453	8ea5f16381db	bounded	inline	Every target/base PDB statement pairs; retail inlines create_rotation and retains -1.0f/sign-mask data while candidate calls the helper, with the same decal properties.
?advanced_bloom@stage_postprocess@render@vostok@@AAEXXZ	dd7f45d3e945	ea6e5d49b01a	bounded	inline	Both sides preserve five locals, 47 statements, all five blur calls and all nine fills; the device singleton datum moves because retail inlines four flush_rt_views calls while candidate retains them.
?change_animation@n_ary_tree_transition_tree_constructor@mixing@animation@vostok@@AAEXAAVn_ary_tree_animation_node@234@0QAV5234@_N@Z	6df8c40e6f00	207675c2346a	bounded	regalloc	Target PDB locals/statements and source operations agree; the raw datum delta is only target-retained 1.0f/-1.0f versus candidate register, sign-mask, or folded constant materialization, with the same control flow and constructions.
?compile@effect_fstage_sky_materials@render@vostok@@UAEXAAVeffect_compiler@23@ABVcustom_config_value@23@@Z	b1c1bf15f385	5c6e88902956	bounded	inline	The complete target sky pass, both fog branches, all state setters and literals are present; target type-id/current-id datums arise because retail inlines config conversion and state setters while candidate retains calls.
?create_resource@?$weapon_core_state_cook_template@Vdouble_barreled_weapon_core_aimed_idle_state@survarium@@@survarium@@UAEXAAVquery_result_for_cook@resources@vostok@@Vconst_buffer@5@Vmutable_buffer@5@@Z	406d74a7509f	484db33854e2	bounded	inline	The source contains the target ASSERT(value_exists("user_animations")); retail retains the value_exists call and literal while candidate optimizes its unused assertion result away, with the request/query body otherwise structurally aligned.
?create_resource@?$weapon_core_state_cook_template@Vdouble_barreled_weapon_core_idle_state@survarium@@@survarium@@UAEXAAVquery_result_for_cook@resources@vostok@@Vconst_buffer@5@Vmutable_buffer@5@@Z	406d74a7509f	484db33854e2	bounded	inline	The source contains the target ASSERT(value_exists("user_animations")); retail retains the value_exists call and literal while candidate optimizes its unused assertion result away, with the request/query body otherwise structurally aligned.
?create_resource@?$weapon_core_state_cook_template@Vpistol_weapon_core_aimed_idle_state@survarium@@@survarium@@UAEXAAVquery_result_for_cook@resources@vostok@@Vconst_buffer@5@Vmutable_buffer@5@@Z	406d74a7509f	484db33854e2	bounded	inline	The source contains the target ASSERT(value_exists("user_animations")); retail retains the value_exists call and literal while candidate optimizes its unused assertion result away, with the request/query body otherwise structurally aligned.
?create_resource@?$weapon_core_state_cook_template@Vpistol_weapon_core_idle_state@survarium@@@survarium@@UAEXAAVquery_result_for_cook@resources@vostok@@Vconst_buffer@5@Vmutable_buffer@5@@Z	406d74a7509f	484db33854e2	bounded	inline	The source contains the target ASSERT(value_exists("user_animations")); retail retains the value_exists call and literal while candidate optimizes its unused assertion result away, with the request/query body otherwise structurally aligned.
?create_resource@?$weapon_core_state_cook_template@Vweapon_core_aimed_state@survarium@@@survarium@@UAEXAAVquery_result_for_cook@resources@vostok@@Vconst_buffer@5@Vmutable_buffer@5@@Z	406d74a7509f	484db33854e2	bounded	inline	The source contains the target ASSERT(value_exists("user_animations")); retail retains the value_exists call and literal while candidate optimizes its unused assertion result away, with the request/query body otherwise structurally aligned.
?create_resource@?$weapon_core_state_cook_template@Vweapon_core_idle_state@survarium@@@survarium@@UAEXAAVquery_result_for_cook@resources@vostok@@Vconst_buffer@5@Vmutable_buffer@5@@Z	406d74a7509f	484db33854e2	bounded	inline	The source contains the target ASSERT(value_exists("user_animations")); retail retains the value_exists call and literal while candidate optimizes its unused assertion result away, with the request/query body otherwise structurally aligned.
?draw_frame_histogram@renderer@render@vostok@@ABEXXZ	99d82951d676	381b1bb0e568	bounded	inline	Target PDB locals/statements and every color/text operation agree; color_rgba and draw_text_shadowed use opposite per-callsite LTCG inline choices, explaining the retained source color constants without a missing datum.
?draw_luminance_picker_info@renderer@render@vostok@@AAEXPBUfont@ui@3@@Z	ca445cf46c85	a71c7762d01c	bounded	inline	Target PDB locals/statements and every color/text operation agree; color_rgba and draw_text_shadowed use opposite per-callsite LTCG inline choices, explaining the retained source color constants without a missing datum.
?draw_stages_stats@renderer@render@vostok@@AAEXPBUfont@ui@3@@Z	15801fe52b0a	3822ae411bc3	bounded	inline	Target PDB locals/statements and every color/text operation agree; color_rgba and draw_text_shadowed use opposite per-callsite LTCG inline choices, explaining the retained source color constants without a missing datum.
?emit@single_animation@animation@vostok@@UBE?AVexpression@mixing@23@AAVmutable_buffer@3@AAVanimation_lexeme@523@AA_N@Z	f8301ff2c17e	771755a705cd	bounded	inline	Target PDB statement/local structure and source construction agree; target retains the 0.25f/interpolator-vtable datum through an inlined lexeme construction while candidate retains calls, an established per-callsite LTCG boundary.
?emit@single_animation@animation@vostok@@UBE?AVexpression@mixing@23@AAVmutable_buffer@3@AA_N@Z	b372afcb440c	0187c7ac0821	bounded	inline	Target PDB statement/local structure and source construction agree; target retains the 0.25f/interpolator-vtable datum through an inlined lexeme construction while candidate retains calls, an established per-callsite LTCG boundary.
?ends_with@strings@vostok@@YA_NQBDI0I@Z	42b39d62dac1	3a7a945c6de2	bounded	inline	The target keeps the generic parameterized ends_with body, while candidate's emitted representative is an LTCG-specialized caller clone using .orig and .material literals; the source function has no such literals.
?execute@stage_ambient_lighting@render@vostok@@UAEXXZ	b6e789c87b69	8cdff5e0a1e4	bounded	inline	All 18 target locals and the complete ambient-lighting stage sequence agree; target/candidate select opposite per-callsite effect, constant-setter, allocator/device and refcount inline boundaries.
?execute@stage_atmosphere@render@vostok@@UAEXXZ	36ef7db2a796	2eee1a602746	bounded	inline	The complete atmosphere, sky/geometry, scattering, cloud, sun/moon and cleanup paths are present; the residual mask datum is an ICF/constant-wrapper identity selected through differing LTCG inline scheduling.
?execute@stage_clouds@render@vostok@@UAEXXZ	8ef454069cef	6447e8d49867	bounded	inline	Both sides have the same 18 locals, 84 statements and every cloud pass; the retained 1.25f datum differs only because constant/refcount helpers and cleanup wrappers cross opposite LTCG inline boundaries.
?execute_impl@stage_light_propagation_volumes@render@vostok@@QAEXXZ	0cf940179daa	be674f47254e	bounded	referent	The complete 216-byte sky_light_matrix_parameters allocation is exact. The remaining compare is an adjacent/one-past allocation-boundary label: retail resolves the address as stage_resolve_lighting::randomizer while candidate resolves the same source operand as sky_light_matrix_parameters+0xc; execute_impl already has complete PDB structure and no missing LPV datum.
?get_recoil_animation_lexeme@player_logic_crouch_state@survarium@@ABE?AVexpression@mixing@animation@vostok@@W4animation_type_enum@2@_NMABUbase_interpolator@56@AAVmutable_buffer@6@1IABV?$FastDelegate@$$A6AMMMIIIM@Z@fastdelegate@@@Z	02271d51509e	75f276c51de5	bounded	inline	The source contains the complete target recoil lexeme builder, parameters, interval-time, interpolators, calculator and expression return; target inlining retains 1.0f and linear_interpolator vtable data while candidate retains builder calls.
?initialize@weapon_core_shotgun_reload_start_substate@survarium@@MAEXXZ	e8e632c44229	63f0f3da1c6e	bounded	inline	The target callback construction and source agree; retail expands Boost function assign_to and retains its stored-vtable while candidate keeps the wrapper call, a whole-program inline boundary.
?initialize_post_process_parameters@material_manager@render@vostok@@QAEXPAUpost_process_parameters@23@V?$resource_ptr@Vmaterial@render@vostok@@Vunmanaged_intrusive_base@resources@3@@resources@3@_N@Z	db15361fcbb5	12e310d9121b	bounded	inline	Both images call the same constant-specialized float4 pow clone from the target-faithful source; retail alone retains the nominal 2.2f argument at the LTCG call boundary.
?max_speed@animation_space_graph@survarium@@QBEMXZ	2fc2228d11f0	3a4e609959a2	bounded	regalloc	The source explicitly assigns m_max_speed = 0.f and target retains that zero-pool datum; candidate materializes the same zero in a register, with the loop and 1.f movement call otherwise present.
?new_time_scale@n_ary_tree_transition_tree_constructor@mixing@animation@vostok@@AAEPAUn_ary_tree_base_node@234@AAVn_ary_tree_animation_node@234@AAIAAM@Z	1a93a7fb62cc	7dd7a5684078	bounded	regalloc	Target PDB locals/statements and source operations agree; the raw datum delta is only target-retained 1.0f/-1.0f versus candidate register, sign-mask, or folded constant materialization, with the same control flow and constructions.
?new_weight_transition@n_ary_tree_comparer@mixing@animation@vostok@@AAEXABUbase_interpolator@34@AAUn_ary_tree_base_node@234@M@Z	83eef64c0721	c8494a71d7ac	bounded	regalloc	Target PDB locals/statements and source operations agree; the raw datum delta is only target-retained 1.0f/-1.0f versus candidate register, sign-mask, or folded constant materialization, with the same control flow and constructions.
?new_weight_transition@n_ary_tree_comparer@mixing@animation@vostok@@AAEXABUbase_interpolator@34@MAAUn_ary_tree_base_node@234@@Z	9eea8216f235	c8494a71d7ac	bounded	regalloc	Target PDB locals/statements and source operations agree; the raw datum delta is only target-retained 1.0f/-1.0f versus candidate register, sign-mask, or folded constant materialization, with the same control flow and constructions.
?new_weight_transition@n_ary_tree_transition_tree_constructor@mixing@animation@vostok@@AAEPAUn_ary_tree_base_node@234@ABUbase_interpolator@34@AAU5234@M@Z	5fe4f294cf0b	6f756de54304	bounded	regalloc	Target PDB locals/statements and source operations agree; the raw datum delta is only target-retained 1.0f/-1.0f versus candidate register, sign-mask, or folded constant materialization, with the same control flow and constructions.
?new_weight_transition@n_ary_tree_transition_tree_constructor@mixing@animation@vostok@@AAEPAUn_ary_tree_base_node@234@ABUbase_interpolator@34@MAAU5234@@Z	480532a6bea2	c8494a71d7ac	bounded	regalloc	Target PDB locals/statements and source operations agree; the raw datum delta is only target-retained 1.0f/-1.0f versus candidate register, sign-mask, or folded constant materialization, with the same control flow and constructions.
?objectQuerySingle@btCollisionWorld@@SAXPBVbtConvexShape@@ABVbtTransform@@1PAVbtCollisionObject@@PBVbtCollisionShape@@1AAUConvexResultCallback@1@M@Z	d1002d664ac2	4aa1a3e12b3c	bounded	cfg	The retail PDB emits the stock Bullet fallback local-class methods, proving the source path exists, but retail LTCG deletes that fallback from the outer body while candidate retains its constructor, vtables and 1.0f data.
?on_exception@testing@vostok@@YAXW4assert_enum@2@PBDPAU_EXCEPTION_POINTERS@@_N@Z	4b38c079d694	090917dc139a	bounded	inline	Target PDB statements/source behavior agree; retail inlines the fixed_string<8192> copy while candidate calls its constructor, shifting the EH/private-text versus bad_alloc RTTI referent without a source datum change.
?on_fs_iterator_probes_ready@scene@render@vostok@@QAEXPADABVvfs_locked_iterator@vfs@3@@Z	980f7b7a3b15	d509f4b9ee4a	bounded	inline	All 14 target locals and VFS/file operations agree; the synchronous-device field datum moves with fixed-string and VFS wrapper inline ownership, with no missing source access.
?on_keyboard_action@game_world@survarium@@UAE_NPAUworld@input@vostok@@W4enum_keyboard@45@W4enum_keyboard_action@45@@Z	7031cb4de3f7	7b38dedf4da8	bounded	inline	The target chat-handler focus operation and literal are present in source; retail inlines focus into the caller while candidate emits the structurally matched call.
?on_packet_received@match_client@network@vostok@@AAEXEAAVpacket_reader@network_core@3@@Z	36267131a843	00929aeca519	bounded	inline	Retail inlines receive_udp_response construction and therefore owns the response and receive_udp_response vtables in the caller; candidate retains the constructor call with the same four PDB statements and source operands.
?on_renderer_configuration_config_loaded@world@engine@render@vostok@@AAEX_NAAVqueries_result@resources@4@@Z	cc1cf5ca3fae	a057d867fdd8	bounded	inline	Both sides have four statements and eight blocks; user.cfg is present in the source call and moves only across the console_commands::save LTCG materialization boundary.
?process_leg@legs_ik_processor@survarium@@AAEXAAUleg_params@12@ABVfloat4x4@math@vostok@@1PAV456@1@Z	4fa02e9e6929	5caf491799d3	bounded	inline	Target PDB structure and the three-stage IK source agree; retail retains the 0.05f is_similar tolerance through its inline expansion while candidate calls/folds the helper.
?query_create_resource@resources@vostok@@YAIPBDVconst_buffer@2@W4class_id_enum@12@ABV?$function@$$A6AXAAVqueries_result@resources@vostok@@@Z@boost@@PAVbase_allocator@memory@2@PBV?$variant@$0CA@@2@PAVquery_result_for_cook@12@W4assert_on_fail_bool@@@Z	0cb4936edb55	b79dc9abe23d	bounded	regalloc	Both sides have one-block flow, the same locals and query_create_resources call; candidate alone retains the empty-string allocation while target coalesces the array initializer into call argument scheduling.
?render@player@survarium@@AAEXII@Z	6a56a7a00e58	e20257074483	bounded	regalloc	Target structure/control flow and renderer-chain operations agree; target retains 1.0f while candidate uses its register/materialized equivalent around the same skeleton updates.
?render_debug@grass_world@render@vostok@@QAEXPAVrenderer_context@23@@Z	17c17ea299c2	2043e83e619e	bounded	inline	The exact 13 target locals and draw operations are present; retail retains the global debug guard in this body while candidate partial-inlines the same guard into its caller.
?set_memory_allocator@physics@vostok@@YAXPAVbase_allocator@memory@2@@Z	835631c22acd	9069ded10552	bounded	inline	Target source/PDB constructor or allocator setup agrees; retail retains GetCurrentThreadId through the cook/thread-id helper while candidate folds or inlines that helper boundary.
?set_model_material@world@engine@render@vostok@@QAEXABV?$resource_ptr@Vrender_model_instance@render@vostok@@Vunmanaged_intrusive_base@resources@3@@resources@4@ABVvirtual_path_string@fs_new@4@V?$resource_ptr@Vunmanaged_resource@resources@vostok@@Vunmanaged_intrusive_base@23@@64@@Z	443215a8a970	4e021f14440d	bounded	inline	Target/candidate have 13 statements, nine locals and eight logical callees; the candidate-only Boost stored-vtable comes from expanded callback target handling where retail calls assign_to.
?translate_query@booby_trap_core_cook@survarium@@UAEXAAVquery_result_for_cook@resources@vostok@@@Z	e9b210d549e5	09b706f6f6f6	bounded	inline	The reconstructed query body and target PDB locals/statements agree; retail inlines the allocation/closure path and retains g_allocator while candidate keeps the helper boundary.
?translate_query@damage_zone_cook@survarium@@UAEXAAVquery_result_for_cook@resources@vostok@@@Z	e0757ccd5e42	d07883b26cba	bounded	inline	The target PDB locals, CFG and query operations agree with source; retail inlines the Boost callback wrapper and retains its stored-vtable while candidate retains the converting constructor call.
?translate_query@grass_cook@render@vostok@@UAEXAAVquery_result_for_cook@resources@3@@Z	29a4dc6411c1	7713e504b6fe	bounded	inline	Retail and candidate retain all 11 target locals, request-loop fields and model paths; the target-only 2^32 float constant belongs to the unsigned-conversion helper that retail retains while candidate inlines, with no source datum omitted.
?translate_query@skeleton_combined_model_cook@render@vostok@@UAEXAAVquery_result_for_cook@resources@3@@Z	0ca1d8221bc1	b2621b8e5608	bounded	inline	Target and candidate have the same eight statements, three PDB locals, five logical callees and Boost callback source; the stored-vtable datum moves across the try_get/query-wrapper LTCG inline boundary.
?try_accumulate_trample@grass_patch@render@vostok@@QAEXAAUtrample_desc@23@PAUgrass_world@23@PAVrenderer@23@PAVrenderer_context@23@@Z	e5f7f2d1c33a	38c320efa077	bounded	inline	Target PDB proves the complete guard, trample math, rejection, parameters, viewport and fill operations; retail inlines effect apply/parameter setters, retaining the backend singleton where candidate calls them.
_zcalloc	a32a46319178	9201455257e3	bounded	inline	The hash-fenced stock zlib body calls malloc on both sides; retail resolves through its static CRT wrapper while candidate records the imported __imp__malloc boundary.
_zcfree	e4e66aa95f15	69f5da7ad7a8	bounded	inline	The hash-fenced stock zlib body calls free on both sides; retail resolves through its static CRT wrapper while candidate records the imported __imp__free boundary.
`dynamic initializer for 'Scaleform::Render::OrigScale9ParentState::InterfaceImpl''	624c1071d097	b42773c705f8	bounded	referent	The compiler-generated initializer constructs the exact OrigScale9ParentState::InterfaceImpl object and both object/initializer definitions compare EXACT; retail and candidate select different ICF representatives for its identical interface vtable address (MaskNodeState versus OrigScale9ParentState), so no source datum differs.
splash_screen_main	5d7509518632	7a82ee6e928f	bounded	referent	The only unresolved direct datum is the function EH descriptor: retail exposes an unprovisioned FuncInfo address while candidate's folded address is labeled as a bad_alloc RTTI addend; no source datum differs.
vostok::console_commands::save	a006a7f46a00	ab369d48ebe5	bounded	inline	Retail retains the command-type guard and passes name into static save; candidate proves the sole shipping case and specializes the same source call to user.cfg, so the literal moves across the WPO boundary.
vostok::render::draw_text_shadowed	7f50890277c1	45261dc8915e	bounded	inline	Target PDB locals/statements and every color/text operation agree; color_rgba and draw_text_shadowed use opposite per-callsite LTCG inline choices, explaining the retained source color constants without a missing datum.
